text_id,x_pca_tfidf,y_pca_tfidf,x_tsne_tfidf,y_tsne_tfidf,x_pca_openai_ada_002,y_pca_openai_ada_002,x_tsne_openai_ada_002,y_tsne_openai_ada_002,x_pca_openai_3_small,y_pca_openai_3_small,x_tsne_openai_3_small,y_tsne_openai_3_small,author_id,year,author
50,0.06307909129013306,0.446669211702872,0.14465526,0.5112525,0.11289519025701394,0.40409689772291524,0.33212554,0.93720984,0.13400788555732085,0.46876461004085235,0.7907526,0.4538187,7,1840,Martin Van Buren
51,0.08060609865011442,0.4240685786679528,0.15642834,0.56343883,0.030752241416500792,0.4374724733907296,0.34590864,0.98362684,0.06695017833406641,0.489071159683126,0.7832382,0.47417358,9,1841,John Tyler
52,0.07005379666152467,0.42556351233438044,0.15670499,0.5657954,0.03925921560301704,0.384123299578781,0.34837413,0.9817087,0.08219036552826386,0.4422586900074183,0.7784505,0.4718005,9,1842,John Tyler
53,0.06937888848815699,0.42970490878149975,0.17547458,0.5538376,0.05326046502109971,0.5056609010619525,0.38361624,0.9827266,0.07567344128876041,0.5309806206458002,0.84055185,0.5170007,9,1843,John Tyler
54,0.0757324833873031,0.43613321295288193,0.1774199,0.5527614,0.07061274825996122,0.5333999204651544,0.39135367,0.98248714,0.10255432935113751,0.5958209782359813,0.84409624,0.5185305,9,1844,John Tyler
55,0.07584706220312876,0.40176953923114056,0.18634939,0.46274555,0.03468815621906168,0.540061397674397,0.42287332,0.9712814,0.03616925584820141,0.5563621953419253,0.83362114,0.5333913,10,1845,James K. Polk
56,0.09907863649660098,0.36720281522114084,0.18735921,0.43905437,0.04292498687258106,0.6839412991482923,0.44979388,0.99623996,0.050389554743191456,0.6919915723018242,0.8751372,0.55696064,10,1846,James K. Polk
57,0.11766476894851319,0.39832791763030384,0.1870006,0.43784872,0.08301984661283823,0.6181764941454939,0.4455259,0.99149084,0.05628017438703553,0.6281333900541431,0.8725502,0.5556963,10,1847,James K. Polk
58,0.09091206000979751,0.4440870990198297,0.21564949,0.467316,0.14476304265031914,0.46668940386179913,0.40879068,0.90847284,0.11533704879317724,0.5172092252209537,0.84161717,0.55471414,10,1848,James K. Polk
59,0.07295289865002996,0.42965764341324836,0.19139686,0.49564064,0.08078459101139468,0.5814711916762152,0.31372708,0.8263421,0.06380575849480513,0.5537300289098777,0.80012774,0.52477556,11,1849,Zachary Taylor
60,0.10597466766584174,0.43523543575094115,0.18340072,0.52278095,0.11963545368727913,0.44762769274803255,0.30882594,0.86519945,0.10596228569745347,0.4611377791999842,0.81932557,0.49474198,12,1850,Millard Fillmore
61,0.07170131531778579,0.4356150100747201,0.19662124,0.5035935,0.09647407123831486,0.5465796108261652,0.31793332,0.80195916,0.030641085619304176,0.5345410910384456,0.7890785,0.5237447,12,1851,Millard Fillmore
62,0.09533536082569671,0.42646751479428413,0.18016401,0.49984455,0.0877044655829034,0.538489754505467,0.29627812,0.8171109,0.07849957357493054,0.5357540976075701,0.80724156,0.5092684,12,1852,Millard Fillmore
63,0.08001611048409735,0.4555604009472535,0.16547546,0.49321136,0.14128510372518538,0.4979479469751623,0.29649973,0.87077403,0.12378000079982948,0.507219727124756,0.83565223,0.4875136,13,1853,Franklin Pierce
