text_id,x_pca_tfidf,y_pca_tfidf,x_tsne_tfidf,y_tsne_tfidf,x_pca_openai_ada_002,y_pca_openai_ada_002,x_tsne_openai_ada_002,y_tsne_openai_ada_002,x_pca_openai_3_small,y_pca_openai_3_small,x_tsne_openai_3_small,y_tsne_openai_3_small,author_id,year,author
0,0.17190795322217645,0.35320108415213447,0.07591084,0.45400715,0.12607219512366424,0.562598123308887,0.21406165,0.8549069,0.12496517561640835,0.6005781943026277,0.8397553,0.39333645,0,1790,George Washington
1,0.05454919798375124,0.3710328470750876,0.088575065,0.4822973,0.17295506277507633,0.4546529988666685,0.24603158,0.8700731,0.13700464165273252,0.47753132222775124,0.81020296,0.3872553,0,1791,George Washington
2,0.10271410817259946,0.4026508438693096,0.08102077,0.4977756,0.16729021554666268,0.5258831503893016,0.23689756,0.8827989,0.13980468301732107,0.5277473753290751,0.8180181,0.37657315,0,1792,George Washington
3,0.12518632214685455,0.3572623321462113,0.054629326,0.521208,0.12688399881187734,0.6284365358195623,0.21499002,0.9036707,0.13909353385638468,0.6334005680609222,0.8380932,0.37496805,0,1793,George Washington
4,0.10566776555994384,0.34134803980170514,0.090562135,0.5368828,0.1458323135900918,0.6525685407088404,0.23698902,0.92699873,0.18087102331622468,0.7125167384142053,0.8295615,0.34416038,0,1794,George Washington
5,0.19060001976755142,0.39148901176727013,0.074837595,0.4066486,0.17284599252860094,0.6561802386840925,0.19029126,0.8904975,0.17831349876875124,0.6785984798865812,0.8512067,0.36810076,0,1795,George Washington
6,0.0959196827598045,0.4215479318892097,0.17125732,0.39083266,0.14546614393773122,0.5924941840036467,0.13133767,0.8509486,0.1237205405287572,0.6032227120311685,0.8987041,0.40394256,0,1796,George Washington
7,0.139681181319542,0.3732551279888593,0.2515627,0.3787756,0.06991780608909415,0.7060206076310555,0.034640282,0.82497454,0.08009111725776125,0.6905721772274446,0.9498515,0.45076966,1,1797,John Adams
8,0.15680888062326948,0.38956542008923745,0.14268562,0.38940138,0.11721102680806278,0.6641099652899913,0.04055631,0.8464699,0.09438860900259799,0.6430464572615864,0.94577867,0.43233812,1,1798,John Adams
9,0.12142681964970164,0.3785518374129425,0.15443504,0.4134833,0.10279223952547006,0.6618549118774373,0.019880801,0.81336653,0.13035187413777005,0.66282633148318,0.95553297,0.4600586,1,1799,John Adams
10,0.1923850117933788,0.37951667621662255,0.0866608,0.42316926,0.23111891977750387,0.6358452703961679,0.17190686,0.85845745,0.22551007558355812,0.6406570627175315,0.8697073,0.3928561,1,1800,John Adams
11,0.26590254258545304,0.36420608287167433,0.029663771,0.43339568,0.12200601079433804,0.49142094331501535,0.18118641,0.7955644,0.1813118507932583,0.5477605658693082,0.8814464,0.35741726,2,1801,Thomas Jefferson
12,0.26488328768649494,0.3942226933656482,0.0012807548,0.43113583,0.12124886798062096,0.5240783195371468,0.1480878,0.7890725,0.16059760435765308,0.558489761408617,0.8872694,0.3538856,2,1802,Thomas Jefferson
13,0.2233380583199212,0.36818658514026426,0.0,0.46333876,0.0830989869629915,0.6660999574616477,0.102983445,0.91766816,0.11714875189981366,0.6985595349905012,0.92539406,0.35579515,2,1803,Thomas Jefferson
14,0.1945337268388605,0.37272333875182406,0.021576345,0.47525138,0.07027588839522847,0.6872816464726517,0.09252414,0.899145,0.057329424941094,0.6924351755027891,0.9252776,0.36828187,2,1804,Thomas Jefferson
